timestamp,state,cav
2025-11-08T06:12:09.140292+00:00,restorative,9396
2025-11-08T06:29:15.677605+00:00,focus,8349
2025-11-08T06:30:34.081234+00:00,restorative,9391
2025-11-08T06:32:43.378088+00:00,focus,8284
2025-11-08T06:33:51.730405+00:00,restorative,9393
2025-11-08T06:39:11.359744+00:00,focus,7781
2025-11-08T06:39:55.241174+00:00,balanced,5633
2025-11-08T06:41:58.122672+00:00,focus,7847
2025-11-08T06:45:31.766877+00:00,restorative,9397
2025-11-08T06:48:17.431794+00:00,focus,7690
2025-11-08T06:50:12.707549+00:00,balanced,5325
2025-11-08T06:50:23.153878+00:00,focus,9391
2025-11-08T06:50:52.501905+00:00,restorative,9390
